업소명,소재지,위도,경도
한솥도시락동래전화국옆점,부산광역시 동래구 명륜로112번길 4,129.0635411,35.1992306
이백장돈까스 사직점,부산광역시 동래구 아시아드대로171번길 26,129.1123427,35.20006251
큰집닭강정 부산1호점,부산광역시 동래구 명장로 132-2,129.1070041,35.19266607
도담,부산광역시 동래구 연안로51번길 12,129.0614323,35.19920406
노랑통닭,부산광역시 동래구 석사로17번길 16,129.0593666,35.1982667
프린스치킨,부산광역시 동래구 사직북로47번길 30-1,129.1033928,35.20978928
처갓집양념치킨,부산광역시 동래구 반송로339번길 8,129.0573726,35.19861767
가마로강정 사직점,부산광역시 동래구 사직로70번길 76,129.1007845,35.20614443
강정공장 공장장,부산광역시 동래구 시실로 206,129.077506,35.21474599
일차로호프치킨,부산광역시 동래구 금강로62번길 7,129.1027881,35.2056845
지코바양념치킨,부산광역시 동래구 명장로 14-1,129.0720883,35.20117423
부자통닭연구소,부산광역시 동래구 여고북로 128,129.0585312,35.1965073
안주빨,부산광역시 동래구 사직북로13번길 39-2,129.1104512,35.19744786
비비큐 안락점,부산광역시 동래구 충렬대로459번길 64,129.0596429,35.1967139
하얀나비,부산광역시 동래구 사직북로13번길 19,129.099091,35.20434806
에이스치킨,부산광역시 동래구 충렬사로 61-1,129.085636,35.20584872
교촌치킨,부산광역시 동래구 동래로 128,129.0588403,35.2050858
착한치킨,부산광역시 동래구 쇠미로129번길 66,129.0990108,35.20003117
아 그집 향어,부산광역시 동래구 충렬대로359번길 49,129.0716605,35.20789334
치킨신드롬,부산광역시 동래구 우장춘로4번길 24,129.1122748,35.20072114
오븐마루,부산광역시 동래구 명장로 123,129.0899821,35.13005694
교촌치킨대연1호점,부산광역시 남구 유엔로 126-1,129.0720177,35.13733841
부원닭발 문현본점,부산광역시 남구 고동골로4번길 20,129.0651412,35.14266328
하루키,부산광역시 남구 전포대로67번길 25,129.1112672,35.11628841
옛골,부산광역시 남구 용호로 179,129.0697891,35.13558239
처가집 양념통닭,부산광역시 남구 지게골로 36,129.0709072,35.12545884
맥시칸치킨 우암점,부산광역시 남구 장고개로 1,129.0770875,35.14401779
오븐에꾸운닭 문현2호점,부산광역시 남구 진남로 202,129.0839748,35.11640067
마이닭스오가통닭,부산광역시 남구 홍곡로 50,129.1015299,35.1369472
우야지막창,부산광역시 남구 수영로322번길 18,129.0722201,35.13771521
소백산한우,부산광역시 남구 수영로39번길 13,129.087762,35.13553936
야호,부산광역시 남구 못골로12번길 73,129.1113141,35.12135381
치킨삼파전 메트로시티 용호점,부산광역시 남구 동명로131번길 33,129.0972125,35.12269032
땅땅치킨 용당점,부산광역시 남구 유엔평화로 150,129.0999121,35.13496082
마이마이(mymy) 치킨 대연점,부산광역시 남구 용소로28번길 16,129.1104003,35.11465583
동키치킨 용호점,부산광역시 남구 용호로198번길 11,129.0724499,35.13849738
지코바양념치킨,부산광역시 남구 수영로39번길 32,129.1127733,35.11491347
동일곱창,부산광역시 남구 동명로152번길 93,129.0818083,35.13422261
처갓집치킨,부산광역시 남구 수영로 142-6,129.1125121,35.12231631
썬더치킨,부산광역시 남구 용호로 111,129.0810063,35.1159044
꼬꼬벵,부산광역시 남구 우암로39번길 47,129.1019283,35.13638471
